"Date","Status","Type","CheckNumber","Description","Withdrawal","Deposit","RunningBalance"
"06/08/2025","Posted","VISA","","Kindle Unltd*NH5532D02 888-802-3080","$11.99","","$4,897.10"
"06/07/2025","Posted","VISA","","OXFORDSHIRE VENDING ABINGDON","$1.50","","$4,909.09"
"06/02/2025","Posted","VISA","","TFL TRAVEL CH TFL.GOV.UK/CP","$3.78","","$4,910.59"
"06/02/2025","Posted","VISA","","LONDON ONE OXFORD STREE LONDON","$22.23","","$4,914.37"
"06/02/2025","Posted","VISA","","RED STAR CHINESE RESTAU OXFORD","$50.55","","$4,936.60"
"05/31/2025","Posted","VISA","","DINES* PRINCE OF WALES LONDON","$9.39","","$4,987.15"
"05/30/2025","Posted","INTADJUST","","Interest Paid","","$0.18","$4,996.54"
"05/30/2025","Posted","VISA","","WWW.GWR.COM ...000125","$9.74","","$4,996.36"
"05/19/2025","Posted","VISA","","FLYTOGET 1009998 VI OSLO","$24.36","","$5,006.10"
"05/19/2025","Posted","VISA","","FLYTOGET 1009998 VI OSLO","$24.36","","$5,030.46"
"05/19/2025","Posted","VISA","","OSL STARBUCKS A365 GARDERMOEN","$7.54","","$5,054.82"
"05/19/2025","Posted","VISA","","DUTY-FREE 7102-DFD-OSL GARDERMOEN","$12.57","","$5,062.36"
"05/18/2025","Posted","VISA","","JOKER NEDRE SLOTTSGATE OSLO","$3.87","","$5,074.93"
"05/17/2025","Posted","VISA","","FLYTOGET 1021104 VI OSLO","$36.64","","$5,078.80"
"05/17/2025","Posted","VISA","","DUTY-FREE 7103-DFA-OSL GARDERMOEN","$14.44","","$5,115.44"
"05/17/2025","Posted","VISA","","Muma Oslo","$33.08","","$5,129.88"
"05/14/2025","Posted","VISA","","SPOTIFY 877-778-1161","$16.99","","$5,162.96"
"05/12/2025","Posted","VISA","","CRATE&BARREL CB2 NOD 800-967-6696","$111.73","","$5,179.95"
"05/12/2025","Posted","TRANSFER","","Funds Transfer from Brokerage ...853","","$2,000.00","$5,291.68"
"05/10/2025","Posted","VISA","","BOOTS 0330 OXFORD","$27.92","","$3,291.68"
"05/09/2025","Posted","VISA","","OXFORD BUS COMPANY OXFORD","$33.40","","$3,319.60"
"05/09/2025","Posted","VISA","","METRO DE MADRID S.A. MADRID","$3.41","","$3,353.00"
"05/09/2025","Posted","VISA","","AEROPUERTO MADRID BARAJ MADRID","$18.90","","$3,356.41"
"05/09/2025","Posted","VISA","","PIMENTEL MADRID","$28.45","","$3,375.31"
